A_1,A_2,A_3,B_1,B_2,B_3,X_1,X_2,X_3,E_g,HTL,ETL,Voc(volts) ,Jsc,Max PCE,A,B,X
MA/1,,,Pb/0.938,Fe/0.062,,I/1,,,,,,,,2.29,MA,Pb/Fe,I
MA/1,,,Pb/0.875,Fe/0.125,,I/1,,,,,,,,0.01,MA,Pb/Fe,I
MA/1,,,Pb/0.75,Fe/0.25,,I/1,,,,,,,,0.22,MA,Pb/Fe,I
MA/1,,,Pb/0.984,Mg/0.016,,I/1,,,,,,,,9.37,MA,Pb/Fe,I
MA/1,,,Pb/0.969,Mg/0.031,,I/1,,,,,,,,9.71,MA,Pb/Mg,I
MA/1,,,Pb/0.938,Mg/0.062,,I/1,,,,,,,,7.11,MA,Pb/Mg,I
MA/1,,,Pb/0.875,Mg/0.125,,I/1,,,,,,,,1.74,MA,Pb/Mg,I
MA/1,,,Pb/0.75,Mg/0.25,,I/1,,,,,,,,0.76,MA,Pb/Mg,I
MA/1,,,Pb/0.984,Mn/0.016,,I/1,,,,,,,,10.38,MA,Pb/Mg,I
MA/1,,,Pb/0.969,Mn/0.031,,I/1,,,,,,,,10.02,MA,Pb/Mn,I
MA/1,,,Pb/0.938,Mn/0.062,,I/1,,,,,,,,7.17,MA,Pb/Mn,I
MA/1,,,Pb/0.875,Mn/0.125,,I/1,,,,,,,,4.3,MA,Pb/Mn,I
MA/1,,,Pb/0.75,Mn/0.25,,I/1,,,,,,,,0.68,MA,Pb/Mn,I
MA/1,,,Pb/0.984,Ni/0.016,,I/1,,,,,,,,9.95,MA,Pb/Mn,I
MA/1,,,Pb/0.969,Ni/0.031,,I/1,,,,,,,,8.53,MA,Pb/Ni,I
MA/1,,,Pb/0.938,Ni/0.062,,I/1,,,,,,,,6.01,MA,Pb/Ni,I
MA/1,,,Pb/0.875,Ni/0.125,,I/1,,,,,,,,0.06,MA,Pb/Ni,I
MA/1,,,Pb/0.75,Ni/0.25,,I/1,,,,,,,,0.04,MA,Pb/Ni,I
MA/1,,,Pb/0.984,Sn/0.016,,I/1,,,,,,,,2.32,MA,Pb/Ni,I
MA/1,,,Pb/0.969,Sn/0.031,,I/1,,,,,,,,5.3,MA,Pb/Sn,I
MA/1,,,Pb/0.938,Sn/0.062,,I/1,,,,,,,,2.38,MA,Pb/Sn,I
MA/1,,,Pb/0.875,Sn/0.125,,I/1,,,,,,,,4.89,MA,Pb/Sn,I
