A_1,A_2,A_3,B_1,B_2,B_3,X_1,X_2,X_3,E_g,HTL,ETL,Voc(volts) ,Jsc,Max PCE
MA/0.9,FA/0.1,,Pb/1,,,I/0.9,Cl/0.1,,1.58,,,,,16.84
MA/0.85,FA/0.15,,Pb/1,,,I/0.9,Cl/0.1,,,,,,,17.41
MA/0.8,FA/0.2,,Pb/1,,,I/0.9,Cl/0.1,,1.58,,,22.1,1.11,18.14
MA/0.75,FA/0.25,,Pb/1,,,I/0.9,Cl/0.1,,,,,,,17.74
MA/0.7,FA/0.3,,Pb/1,,,I/0.9,Cl/0.1,,1.57,,,,,16.68
MA/0.6,FA/0.4,,Pb/1,,,I/0.9,Cl/0.1,,1.57,,,,,16.48
MA/0.5,FA/0.5,,Pb/1,,,I/0.9,Cl/0.1,,1.54,,,,,
MA/1,,,Pb/1,Sn/0,,I/1,Br/0,,,Spiro-OMeTAD,mesoporous TiO2,0.854,10.8,5.46
MA/1,,,Pb/0.97,Sn/0.03,,I/0.98,Br/0.03,,,Spiro-OMeTAD,mesoporous TiO2,0.774,12.8,6.47
MA/1,HA/0,,Pb/1,,,I/1,,,,PCBM,PEDOT:PSS,,,10.1
MA/0.95,HA/0.05,,Pb/1,,,I/1,,,,PCBM,PEDOT:PSS,,,10.3
MA/0.9,HA/0.1,,Pb/1,,,I/1,,,,PCBM,PEDOT:PSS,0.927,16.9,11.6
MA/0.8,HA/0.2,,Pb/1,,,I/1,,,,PCBM,PEDOT:PSS,,,10
MA/0.7,HA/0.3,,Pb/1,,,I/1,,,,PCBM,PEDOT:PSS,,,7.2
MA/0.6,HA/0.4,,Pb/1,,,I/1,,,,PCBM,PEDOT:PSS,,,5.5
MA/0.5,HA/0.5,,Pb/1,,,I/1,,,,PCBM,PEDOT:PSS,,,1.9
FA/1,Rb/0,,Pb/1,,,I/1,,,,,,,,13.56
FA/0.95,Rb/0.05,,Pb/1,,,I/1,,,,,,1.07,23.93,17.16
FA/0.9,Rb/0.1,,Pb/1,,,I/1,,,,,,,,15.57
FA/0.85,Rb/0.15,,Pb/1,,,I/1,,,,,,,,13.3
FA/0.8,Rb/0.2,,Pb/1,,,I/1,,,,,,,,12.45
FA/0.75,MA/0.25,,Pb/1,,,I/1,,,,,,1.03,21.1,15.51
FA/0.85,MA/0.15,,Pb/1,,,I/0.85,Br/0.15,,,Spiro-OMeTAD,mesoporous TiO2,,,8.8
FA/1,,,Pb/1,,,I/1,Br/0,,,Spiro-OMeTAD,mesoporous TiO2,,,19.3
FA/1,,,Pb/1,,,I/0.952,Br/0.048,,,Spiro-OMeTAD,mesoporous TiO2,1.16,24.6,20.8
FA/1,,,Pb/1,,,I/0.909,Br/0.091,,,Spiro-OMeTAD,mesoporous TiO2,,,19.8
FA/1,,,Pb/1,,,I/0.862,Br/0.138,,,Spiro-OMeTAD,mesoporous TiO2,,,20
FA/1,,,Pb/1,,,I/0.813,Br/0.187,,,Spiro-OMeTAD,mesoporous TiO2,,,19.2
FA/1,,,Pb/1,,,I/0.729,Br/0.271,,,Spiro-OMeTAD,mesoporous TiO2,,,12.2
FA/1,,,Pb/1,,,I/0.649,Br/0.351,,,Spiro-OMeTAD,mesoporous TiO2,,,10.9
Al/0,MA/1,,Pb/1,,,I/1,,,,,,,,15.8
Al/0.00075,MA/0.99775,,Pb/1,,,I/1,,,,,,,,16.4
Al/0.0015,MA/0.9955,,Pb/1,,,I/1,,,,,,1.09,22.3,18.2
Al/0.003,MA/0.991,,Pb/1,,,I/1,,,,,,,,16.6
Al/0.0075,MA/0.9775,,Pb/1,,,I/1,,,,,,,,11.7
Al/0.015,MA/0.955,,Pb/1,,,I/1,,,,,,,,6.7
