,"ABX3 (A=Cs,Ru,FA,MA,etc.; B=Pb,Sn,Ge,etc.; X=I,Br,Cl,BF4,PF6,SCN,etc.)",,,,,,,,,,,,,,,,,,,,
Formula,A_1,A_2,A_3,B_1,B_2,B_3,X_1,X_2,X_3,E_g,HTL,ETL,Voc(volts) ,Jsc,Max PCE,UV-Vis,Stability,Reference,A,B,X
FA0.85Cs0.15PbI3(Pb(SCN)2)0.0375,FA/0.85,Cs/0.15,,Pb/1.0,,,I/0.9625,SCN/0.0378,,,spiro-OMeTAD,TiO2,0.83,5,3.5,,,Chen2017_2403,FA/Cs,Pb,I/SCN
FA0.81MA0.15Pb(I0.836Br0.15)3.,FA/0.81,MA/0.15,,Pb/1.0,,,I/0.836,Br/0.15,,,spiro-OMeTAD,TiO2,1.13,22.2,16.1,,,,FA/MA,Pb,I/Br
FA0.81MA0.15Pb(I0.836Br0.15)3.,FA/0.81,MA/0.15,,Pb/1.0,,,I/0.836,Br/0.15,,,spiro-OMeTAD,TiO2,2.213,22.2,17.2,,,Ramakrishna2017_2358,FA/MA,Pb,I/Br
MAPbI3,MA/1,,,Pb/1,,,I/1,,,1.58,,,,,15.08,,,,MA,Pb,I
MA0.95Cs0.05Pb(I0.95Br0.05)3,MA/0.95,Cs/0.05,,Pb/1,,,I/0.95,Br/0.05,,1.62,,,,,15.7,,,,MA/Cs,Pb,I/Br
MA0.9Cs0.1Pb(I0.9Br0.1)3,MA/0.9,Cs/0.1,,Pb/1,,,I/0.9,Br/0.1,,1.65,,,1.08,21.32,16.42,,,Wang2016_87,MA/Cs,Pb,I/Br
MA0.8Cs0.2Pb(I0.8Br0.2)3,MA/0.8,Cs/0.2,,Pb/1,,,I/0.8,Br/0.2,,1.73,,,,,14.31,,,,MA/Cs,Pb,I/Br
MA0.90FA0.10PbI2.7Cl0.3,MA/0.9,FA/0.1,,Pb/1,,,I/0.9,Cl/0.1,,1.58,,,,,16.84,,,,MA/FA,Pb,I/Cl
MA0.85FA0.15PbI2.7Cl0.3,MA/0.85,FA/0.15,,Pb/1,,,I/0.9,Cl/0.1,,,,,,,17.41,,,,MA/FA,Pb,I/Cl
MA0.80FA0.20PbI2.7Cl0.3,MA/0.8,FA/0.2,,Pb/1,,,I/0.9,Cl/0.1,,1.58,,,22.1,1.11,18.14,,,Ouyang2016_12543,MA/FA,Pb,I/Cl
MA0.75FA0.25PbI2.7Cl0.3,MA/0.75,FA/0.25,,Pb/1,,,I/0.9,Cl/0.1,,,,,,,17.74,,,,MA/FA,Pb,I/Cl
MA0.70FA0.30PbI2.7Cl0.3,MA/0.7,FA/0.3,,Pb/1,,,I/0.9,Cl/0.1,,1.57,,,,,16.68,,,,MA/FA,Pb,I/Cl
MA0.60FA0.40PbI2.7Cl0.3,MA/0.6,FA/0.4,,Pb/1,,,I/0.9,Cl/0.1,,1.57,,,,,16.48,,,,MA/FA,Pb,I/Cl
MA0.50FA0.50PbI2.7Cl0.3,MA/0.5,FA/0.5,,Pb/1,,,I/0.9,Cl/0.1,,1.54,,,,,,,,,MA/FA,Pb,I/Cl
MAPbI3,MA/1,,,Pb/1,,,I/1,,,,Spiro-OMeTAD,mesoporous TiO2,0.854,10.8,5.46,,,,MA,Pb,I
MAPb0.97Sb0.03I2.94Br0.09,MA/1,,,Pb/0.97,Sb/0.03,,I/0.98,Br/0.03,,,Spiro-OMeTAD,mesoporous TiO2,0.774,12.8,6.47,,,Suzuki2017_020009,MA,Pb/Sb,I/Br
MAPbI3,MA/1,,,Pb/1,,,I/1,,,,PCBM,PEDOT:PSS,,,10.1,,,,MA,Pb,I
MA0.95HA0.05PbI3,MA/0.95,HA/0.05,,Pb/1,,,I/1,,,,PCBM,PEDOT:PSS,,,10.3,,,,MA/HA,Pb,I
